date,event_code,title,tags,challenger_context,confidence,official_url,notes
2025-06-19,ASSEMBLE_S2,ASSEMBLE,"population_inflow_shock;growth_support",pre-season2,high,https://maplestory.nexon.com/news/update/773,"대규모 여름 업데이트 및 S2 직전 유입. 6/12~6/19 A 급증과 B 증가가 동시에 관측됨."
2025-07-17,ASCENT_HEXA,Ascent / new HEXA skills,"boss_accessibility_shock;growth_support",season2,high,https://maplestory.nexon.com/news/update/778,"전 직업 신규 HEXA 계열 전투력 증가. S2 w 상승의 구조적 설명 후보."
2025-08-21,FIRST_ADVERSARY,The First Adversary,"new_boss_frontier_shock",season2,high,https://maplestory.nexon.com/news/update/779,"신규 상위 보스가 생산 frontier를 확장."
2025-09-18,FALL_UPDATE,Fall/Epic Dungeon/Union content,"growth_support",season2,medium,https://maplestory.nexon.com/news/update/783,"중간 규모 성장/콘텐츠 업데이트."
2025-10-23,CRYSTAL_ADJ_1023,Crystal price adjustment,"reward_schedule_shock;economy_content_shock",season2,high,https://maplestory.nexon.com/news/update/786,"결정석 가격 직접 변경. V2에서는 mixed B/A가 아닌 external factor 사용."
2025-12-18,CROWN,CROWN,"population_inflow_shock;growth_support;boss_accessibility_shock",pre-season3,high,https://maplestory.nexon.com/news/update/791,"성장 동선·필드·심볼·유니온·V매트릭스 등 대규모 겨울 개편."
2026-01-15,RADIANT_CALAMITY_AZMOTH,Azmoth removal / Radiant Calamity,"new_boss_frontier_shock;economy_content_shock",season3,high,https://maplestory.nexon.com/news/update/795,"아즈모스 삭제는 보스 결정석 가격의 기계적 변경이 아니므로 main counterfactual multiplier로 사용하지 않음. 신규 상위 보스는 별도 frontier shock."
2026-02-12,JUPITER_DESTINY2,Jupiter / Destiny 2nd transcendence,"new_boss_frontier_shock;boss_accessibility_shock;growth_support",season3,high,https://maplestory.nexon.com/news/update/797,"신규 보스 유피테르, 데스티니 2차 초월, Frontier/Haste 계열 성장 지원. 시즌3 2월 생산능력 상승의 구조적 후보."
2026-03-19,ANNIVERSARY_BOSS_REWORK,23rd Anniversary / growth path / boss simplification,"population_inflow_shock;boss_accessibility_shock;growth_support",season3,high,https://maplestory.nexon.com/news/update/799,"성장동선·특수 스킬 반지·다수 보스 패턴/데스카운트/오브젝트 완화가 동시에 발생. 이벤트/Hyper Burning 계열 유입으로 A 구성 희석과 genuine boss shock가 동시 존재."
2026-04-16,COMMON_CORE_HELENA,New common core / Helena,"boss_accessibility_shock;new_boss_frontier_shock;growth_support",season3,high,https://maplestory.nexon.com/news/update/802,"시즌3 종료 경계의 전투력 및 신규 보스 shock."
2026-06-18,OVERDRIVE1_S4,OVERDRIVE 1 / boss overhaul / Genesis Pass,"population_inflow_shock;boss_accessibility_shock;reward_schedule_shock;growth_support",pre-season4,high,https://maplestory.nexon.com/news/update/806,"다수 주간 보스 HP 대폭 감소와 보스 시스템 개편. Genesis Pass는 별도 이벤트 공지에서 흔적 획득 3배·해방 가속을 제공. 유입 희석보다 boss shock가 우세한 대표 예외."
2026-07-23,OVERDRIVE2_HEXA,OVERDRIVE 2 / new HEXA skills,"boss_accessibility_shock;growth_support",season4,high,https://maplestory.nexon.com/news/update/809,"전 직업 신규 HEXA skill 및 전투력 상향. Genesis Pass PLUS progression과 해방 cohort 성숙이 겹치는 시기."
2026-08-20,OVERDRIVE3_BELLONA,OVERDRIVE 3 / Bellona,"new_boss_frontier_shock;growth_support",season4,high,https://maplestory.nexon.com/news/update/811,"신규 보스 벨로나 및 후속 progression."
